0 1 2 
3 4 5 
4 5 6 
4 7 6 
7 8 9 
8 9 10 
7 6 9 
8 11 10 
11 12 13 
12 13 14 
11 10 13 
1 12 15 
12 15 14 
1 2 15 
15 14 16 
2 15 17 
15 17 16 
17 16 18 
19 20 21 
19 22 21 
5 6 19 
6 19 22 
22 21 23 
9 10 24 
6 22 25 
22 25 23 
6 9 25 
9 25 24 
25 23 26 
25 24 26 
13 14 27 
10 24 28 
10 13 28 
13 28 27 
24 28 29 
28 29 30 
24 26 29 
28 27 30 
14 27 31 
14 16 31 
27 31 32 
27 30 32 
30 32 33 
16 31 32 
16 18 32 
18 32 34 
32 35 33 
32 35 34 
35 33 36 
35 34 36 
18 34 37 
34 37 38 
34 36 38 
36 38 39 
38 40 39 
40 39 41 
39 41 42 
41 42 43 
41 44 43 
44 43 45 
20 21 46 
21 46 47 
21 23 47 
46 47 48 
23 47 48 
23 26 48 
26 48 49 
29 30 50 
26 49 51 
26 29 51 
29 51 50 
49 51 52 
51 50 52 
50 52 53 
52 53 54 
30 50 55 
30 33 55 
50 55 56 
50 53 56 
33 55 56 
33 36 56 
36 56 57 
53 54 56 
54 56 58 
56 58 57 
54 58 59 
58 57 59 
57 59 60 
59 60 61 
36 57 62 
36 39 62 
57 62 63 
57 60 63 
39 62 63 
39 42 63 
60 61 63 
61 63 64 
42 43 63 
43 63 64 
61 64 65 
43 64 65 
43 45 65 
45 65 66 
45 66 67 
66 67 68 
