0 1 2 
1 2 3 
1 4 3 
4 5 6 
5 6 7 
4 3 6 
5 8 7 
8 9 10 
8 7 10 
11 12 13 
11 14 13 
2 3 11 
3 11 14 
15 16 17 
14 13 15 
13 15 16 
15 18 17 
6 7 15 
7 15 18 
3 14 15 
3 6 15 
19 20 21 
18 17 19 
17 19 20 
9 22 19 
22 19 21 
9 10 19 
7 18 19 
7 10 19 
22 23 24 
22 21 24 
12 13 25 
26 27 28 
26 27 29 
26 30 28 
16 17 26 
17 26 30 
13 25 26 
25 26 29 
13 16 26 
25 29 31 
32 33 34 
30 28 32 
28 32 33 
32 35 34 
20 21 32 
21 32 35 
17 30 32 
17 20 32 
36 37 38 
37 38 39 
35 34 38 
34 38 39 
23 36 38 
23 24 38 
21 35 38 
21 24 38 
40 41 42 
40 41 43 
40 44 42 
27 28 40 
28 40 44 
40 45 43 
27 29 40 
29 40 45 
45 43 46 
43 46 47 
29 45 46 
29 31 46 
48 49 50 
44 42 48 
42 48 49 
48 51 50 
33 34 48 
34 48 51 
28 44 48 
28 33 48 
52 53 54 
53 54 55 
51 50 54 
50 54 55 
37 52 54 
37 39 54 
34 51 54 
34 39 54 
