0 1 2 
3 4 5 
4 5 6 
1 3 5 
1 2 5 
4 7 8 
4 6 8 
6 8 9 
7 10 11 
7 8 11 
10 12 11 
12 11 13 
11 13 14 
8 9 11 
9 11 15 
11 15 14 
9 15 16 
15 14 16 
14 16 17 
16 17 18 
12 19 20 
12 13 20 
13 20 21 
13 14 21 
14 21 22 
14 17 22 
17 22 23 
17 18 23 
18 23 24 
23 24 25 
24 26 25 
24 26 27 
26 25 28 
26 27 28 
27 28 29 
28 29 30 
29 31 30 
29 31 32 
33 34 35 
31 30 33 
30 33 34 
33 36 35 
33 36 37 
31 32 33 
32 33 38 
33 38 37 
32 38 39 
38 37 39 
37 39 40 
39 40 41 
42 43 44 
36 35 42 
35 42 43 
36 37 42 
37 42 45 
37 45 46 
37 40 46 
40 41 46 
41 46 47 
41 47 48 
