0 1 2 
1 2 3 
2 3 4 
2 5 4 
5 4 6 
7 8 9 
8 9 10 
9 10 11 
7 12 9 
12 9 13 
9 13 14 
9 15 11 
9 15 14 
15 11 16 
11 16 17 
16 17 18 
15 14 16 
14 16 19 
16 19 20 
16 21 18 
16 21 20 
21 18 22 
21 20 22 
12 23 24 
12 13 24 
23 25 24 
25 24 26 
24 26 27 
13 14 24 
14 24 28 
24 28 27 
14 28 29 
14 19 29 
28 27 29 
27 29 30 
29 30 31 
19 20 29 
20 29 32 
29 32 31 
20 32 33 
20 22 33 
22 33 34 
32 31 33 
31 33 35 
33 35 36 
33 37 34 
33 37 36 
37 34 38 
37 36 38 
25 39 40 
25 26 40 
1 39 40 
1 3 40 
26 27 40 
27 40 41 
3 4 40 
4 40 41 
27 41 42 
27 30 42 
4 41 42 
4 6 42 
6 42 43 
30 31 42 
31 42 44 
42 44 43 
31 44 45 
31 35 45 
44 43 45 
43 45 46 
45 46 47 
35 36 45 
36 45 48 
45 48 47 
36 48 49 
48 49 50 
36 38 49 
48 47 50 
6 43 51 
43 51 52 
43 46 52 
46 47 52 
47 52 53 
47 53 54 
53 54 55 
47 50 54 
