0 1 2 
0 3 2 
0 3 4 
5 6 7 
5 6 8 
5 9 8 
9 8 10 
8 10 11 
10 11 12 
10 13 12 
13 12 14 
12 14 15 
3 2 14 
2 14 15 
3 4 14 
4 14 16 
4 16 17 
18 19 20 
18 21 20 
18 21 22 
23 24 25 
24 25 26 
25 26 27 
23 28 25 
28 25 29 
25 29 30 
25 31 27 
25 31 30 
31 27 32 
27 32 33 
32 33 34 
31 30 32 
30 32 35 
32 35 36 
32 37 34 
32 37 36 
37 34 38 
34 38 39 
21 20 38 
20 38 39 
37 36 38 
36 38 40 
38 40 41 
21 22 38 
22 38 42 
38 42 41 
22 42 43 
42 41 43 
41 43 44 
1 2 43 
2 43 44 
28 45 46 
28 29 46 
45 47 46 
47 46 48 
46 48 49 
29 30 46 
30 46 50 
46 50 49 
30 50 51 
30 35 51 
50 49 51 
49 51 52 
6 7 51 
7 51 52 
35 36 51 
36 51 53 
6 8 51 
8 51 53 
36 53 54 
36 40 54 
8 53 54 
8 11 54 
40 41 54 
41 54 55 
11 12 54 
12 54 55 
41 55 56 
41 44 56 
12 55 56 
12 15 56 
2 44 56 
2 15 56 
47 57 58 
47 48 58 
48 49 58 
49 58 59 
49 59 60 
49 52 60 
7 52 60 
