0 1 2 
3 4 5 
3 4 6 
3 7 5 
3 7 8 
3 9 6 
3 9 8 
9 6 10 
6 10 11 
9 8 10 
8 10 12 
1 2 10 
2 10 12 
13 14 15 
7 5 13 
5 13 14 
7 8 13 
8 13 16 
8 16 17 
8 12 17 
2 12 17 
18 19 20 
18 19 21 
18 22 20 
4 5 18 
5 18 22 
18 23 21 
4 6 18 
6 18 23 
23 21 24 
21 24 25 
6 23 24 
6 11 24 
26 27 28 
27 28 29 
22 20 28 
20 28 29 
26 30 28 
30 28 31 
14 15 28 
15 28 31 
5 22 28 
5 14 28 
30 32 33 
30 31 33 
15 31 33 
34 35 36 
34 37 36 
34 37 38 
39 40 41 
37 36 39 
36 39 40 
39 42 41 
19 20 39 
20 39 42 
37 38 39 
38 39 43 
19 21 39 
21 39 43 
38 43 44 
21 43 44 
21 25 44 
45 46 47 
46 47 48 
42 41 47 
41 47 48 
27 45 47 
27 29 47 
20 42 47 
20 29 47 
49 50 51 
49 52 51 
35 36 49 
36 49 52 
53 54 55 
52 51 53 
51 53 54 
53 56 55 
40 41 53 
41 53 56 
36 52 53 
36 40 53 
57 58 59 
58 59 60 
56 55 59 
55 59 60 
46 57 59 
46 48 59 
41 56 59 
41 48 59 
