0 1 2 
3 4 5 
3 6 5 
1 2 3 
2 3 6 
7 8 9 
6 5 7 
5 7 8 
2 6 7 
10 11 12 
11 13 12 
13 12 14 
4 5 12 
5 12 14 
13 15 16 
13 14 16 
15 17 16 
17 16 18 
8 9 16 
9 16 18 
5 14 16 
5 8 16 
17 19 20 
19 20 21 
17 18 20 
9 18 20 
19 22 23 
19 21 23 
22 24 25 
24 25 26 
22 23 25 
21 23 25 
27 28 29 
24 27 30 
27 30 29 
24 26 30 
31 32 33 
30 29 31 
29 31 32 
26 30 31 
34 35 36 
28 34 37 
34 37 36 
28 29 37 
38 39 40 
37 36 38 
36 38 39 
38 41 40 
32 33 38 
33 38 41 
29 37 38 
29 32 38 
41 40 42 
33 41 43 
41 43 42 
43 42 44 
42 44 45 
44 45 46 
44 47 46 
47 46 48 
